Fast,Slow,SL,TP,TSL,ATR,WinRate,Return,Sharpe
1,2,0.3,0.3,1.8,15,37.93,-25.59,-1.92
1,2,0.3,0.3,1.8,19,37.77,-26.68,-2.02
1,2,0.3,0.3,2.1,3,38.48,-25.71,-1.93
1,2,0.3,0.3,2.1,7,38.18,-25.99,-1.96
1,2,0.3,0.3,2.1,11,37.99,-25.81,-1.94
1,2,0.3,0.3,2.1,15,37.93,-25.59,-1.92
1,2,0.3,0.3,2.1,19,37.77,-26.68,-2.02
1,2,0.3,0.6,0.0,3,34.48,-21.66,-1.47
1,2,0.3,0.6,0.0,7,34.26,-23.85,-1.65
1,2,0.3,0.6,0.0,11,34.2,-21.72,-1.47
1,2,0.3,0.6,0.0,15,34.17,-22.89,-1.58
1,2,0.3,0.6,0.0,19,34.2,-22.46,-1.54
1,2,0.3,0.6,0.3,3,34.48,-21.66,-1.47
1,2,0.3,0.6,0.3,7,34.26,-23.85,-1.65
1,2,0.3,0.6,0.3,11,34.2,-21.72,-1.47
1,2,0.3,0.6,0.3,15,34.17,-22.89,-1.58
1,2,0.3,0.6,0.3,19,34.2,-22.46,-1.54
1,2,0.3,0.6,0.6,3,34.48,-21.66,-1.47
1,2,0.3,0.6,0.6,7,34.26,-23.85,-1.65
1,2,0.3,0.6,0.6,11,34.2,-21.72,-1.47
1,2,0.3,0.6,0.6,15,34.17,-22.89,-1.58
1,2,0.3,0.6,0.6,19,34.2,-22.46,-1.54
1,2,0.3,0.6,0.9,3,34.48,-21.66,-1.47
1,2,0.3,0.6,0.9,7,34.26,-23.85,-1.65
1,2,0.3,0.6,0.9,11,34.2,-21.72,-1.47
1,2,0.3,0.6,0.9,15,34.17,-22.89,-1.58
1,2,0.3,0.6,0.9,19,34.2,-22.46,-1.54
1,2,0.3,0.6,1.2,3,34.48,-21.66,-1.47
1,2,0.3,0.6,1.2,7,34.26,-23.85,-1.65
1,2,0.3,0.6,1.2,11,34.2,-21.72,-1.47
1,2,0.3,0.6,1.2,15,34.17,-22.89,-1.58
1,2,0.3,0.6,1.2,19,34.2,-22.46,-1.54
1,2,0.3,0.6,1.5,3,34.48,-21.66,-1.47
1,2,0.3,0.6,1.5,7,34.26,-23.85,-1.65
1,2,0.3,0.6,1.5,11,34.2,-21.72,-1.47
1,2,0.3,0.6,1.5,15,34.17,-22.89,-1.58
